Time,Price,Action,Inventory,Cash,Profit
2005-08-30,27.18,sit,0.0,10000.0,0.0
2005-08-31,27.38,sit,0.0,10000.0,0.0
2005-09-01,27.2,sit,0.0,10000.0,0.0
2005-09-02,27.02,sit,0.0,10000.0,0.0
2005-09-06,27.0,buy,4995.0,4967.5375,-37.462499999999636
2005-09-07,26.85,sell,2511.0,7419.210999999983,-83.73900000001595
2005-09-08,26.61,sit,2511.0,7419.210999999983,-106.05900000001748
2005-09-09,26.58,sit,2511.0,7419.210999999983,-108.84900000001653
2005-09-12,26.61,buy,6209.789999999982,3692.6800750000216,-133.79992499997934
2005-09-13,26.48,sit,6209.789999999982,3692.6800750000216,-163.9599249999792
2005-09-14,26.31,sell,3086.7600000000016,6721.750375000051,-226.28962499995032
2005-09-15,26.27,sell,1543.3799999999985,8233.982925000051,-242.35707499994896
2005-09-16,26.07,sell,771.6900000000003,8984.342700000067,-259.6272999999328
2005-09-19,26.0,sit,771.6900000000003,8984.342700000067,-261.65729999993346
2005-09-20,25.84,buy,5242.010000000015,4480.495300000041,-299.8246999999574
2005-09-21,25.49,buy,7459.639999999996,2246.2330750000606,-387.1569249999393
2005-09-22,25.34,buy,8574.600000000002,1122.9108750000626,-438.8691249999374
2005-09-23,25.27,sell,4262.829999999997,5286.2697250000665,-493.64027499993244
2005-09-26,25.27,sit,4262.829999999997,5286.2697250000665,-493.64027499993244
2005-09-27,25.34,sell,2134.5599999999977,7373.715575000066,-497.72442499993485
2005-09-28,25.67,buy,5805.370000000008,3675.3745000000554,-497.53549999994357
2005-09-29,25.94,buy,7621.16999999998,1845.9560000000515,-449.86399999994865
2005-09-30,25.73,sell,3843.730000000006,5625.435700000037,-540.7942999999632
2005-10-03,25.5,sit,3843.730000000006,5625.435700000037,-575.0642999999618
2005-10-04,24.98,buy,6641.489999999962,2806.692500000063,-673.5274999999383
2005-10-05,24.67,sell,3290.6200000000017,5989.739250000079,-778.4907499999208
2005-10-06,24.73,sell,1648.680000000001,7585.133375000095,-782.6866249999057
2005-10-07,24.59,sell,824.3400000000004,8390.517350000095,-798.012649999906
2005-10-10,24.46,sit,824.3400000000004,8390.517350000095,-802.302649999905
2005-10-11,24.41,buy,4998.449999999986,4185.101525000119,-835.2584749998805
2005-10-12,24.3,sit,4998.449999999986,4185.101525000119,-857.698474999881
2005-10-13,24.59,buy,7088.5999999999985,2079.275400000107,-814.2145999998938
2005-10-14,24.67,sell,3554.750000000008,5605.111800000113,-817.738199999887
2005-10-17,24.53,sell,1795.069999999998,7358.025600000101,-851.2843999998986
2005-10-18,24.57,sit,1795.069999999998,7358.025600000101,-848.3643999998985
2005-10-19,25.09,sit,1795.069999999998,7358.025600000101,-810.4043999998994
2005-10-20,24.79,buy,5463.9899999999925,3661.588700000106,-859.8212999998941
2005-10-21,24.78,buy,7272.929999999974,1839.0816500000933,-875.5983499999056
2005-10-24,25.1,sell,3643.400000000011,5501.108900000122,-809.1910999998781
2005-10-25,25.03,sit,3643.400000000011,5501.108900000122,-819.4810999998772
2005-10-26,25.1101,sit,3643.400000000011,5501.108900000122,-807.7063999998791
2005-10-27,24.85,sit,3643.400000000011,5501.108900000122,-845.9410999998781
2005-10-28,25.53,sell,1833.7299999999984,7350.821225000131,-759.95877499987
2005-10-31,25.7,sell,916.8599999999993,8294.589475000123,-754.5105249998778
2005-11-01,25.96,sell,470.8199999999998,8758.364875000107,-748.3951249998936
2005-11-02,26.46,sit,470.8199999999998,8758.364875000107,-738.8951249998936
2005-11-03,26.44,sit,470.8199999999998,8758.364875000107,-739.2751249998928
2005-11-04,26.66,buy,4843.059999999988,4353.3330750001305,-767.8869249998697
2005-11-07,27.01,buy,7003.860000000005,2176.327075000113,-720.042924999887
2005-11-08,27.0495,sit,7003.860000000005,2176.327075000113,-709.6544249998879
2005-11-09,26.96,buy,8082.260000000007,1089.8390750001115,-741.2809249998882
2005-11-10,27.09,sit,8082.260000000007,1089.8390750001115,-701.8909249998887
