Time,Price,Action,Inventory,Cash,Profit
2008-12-09,20.6,sit,0.0,10000.0,0.0
2008-12-10,20.61,buy,4987.6199999999935,4974.97285,-37.40714999999909
2008-12-11,19.45,buy,7457.76999999997,2486.2967250000233,-336.65327499997693
2008-12-12,19.36,sit,7457.76999999997,2486.2967250000233,-369.86327499997606
2008-12-15,19.04,sell,3665.5299999999866,5963.381525000047,-514.2184749999542
2008-12-16,20.11,buy,6641.809999999948,2964.77942500007,-338.59057499992923
2008-12-17,19.66,buy,8116.309999999937,1479.2206750000746,-499.4993249999261
2008-12-18,19.3,buy,8849.709999999912,740.3201750000763,-651.8798249999218
2008-12-19,19.12,sit,8849.709999999912,740.3201750000763,-732.1598249999224
2008-12-22,19.18,sell,4419.999999999993,4985.381625000057,-737.4783749999424
2008-12-23,19.28,sit,4419.999999999993,4985.381625000057,-715.1783749999413
2008-12-24,19.17,sell,2188.240000000001,7097.292600000014,-755.6673999999857
2008-12-26,19.13,sit,2188.240000000001,7097.292600000014,-760.1473999999853
2008-12-29,18.96,sit,2188.240000000001,7097.292600000014,-779.1873999999862
2008-12-30,19.34,sell,1087.2799999999988,8172.209800000018,-744.7501999999822
2008-12-31,19.44,buy,5169.679999999985,4059.1918000001015,-769.7681999998986
2009-01-02,20.33,sell,2585.5200000000054,6742.802625000109,-553.3073749998912
2009-01-05,20.52,sit,2585.5200000000054,6742.802625000109,-528.0373749998907
2009-01-06,20.76,sit,2585.5200000000054,6742.802625000109,-496.11737499989067
2009-01-07,19.51,buy,5941.2400000000425,3361.914725000072,-687.5352749999274
2009-01-08,20.12,sell,2985.0300000000097,6397.217925000094,-524.4220749999058
2009-01-09,19.52,sit,2985.0300000000097,6397.217925000094,-616.2220749999069
2009-01-12,19.47,sit,2985.0300000000097,6397.217925000094,-623.8720749999065
2009-01-13,19.82,sit,2985.0300000000097,6397.217925000094,-570.3220749999055
2009-01-14,19.09,sell,1502.2699999999995,7837.176625000093,-692.8933749999069
2009-01-15,19.24,sit,1502.2699999999995,7837.176625000093,-681.3433749999076
2009-01-16,19.71,sell,760.8899999999998,8580.539275000076,-650.7707249999239
2009-01-20,18.48,sell,390.19999999999993,8929.025875000063,-701.3741249999366
2009-01-21,19.38,sit,390.19999999999993,8929.025875000063,-683.3741249999366
2009-01-22,17.11,sell,195.1,9098.842625000072,-730.0573749999276
2009-01-23,17.2,sit,195.1,9098.842625000072,-729.1573749999279
2009-01-26,17.63,sell,97.55000000000001,9186.331500000071,-725.5184999999292
2009-01-27,17.66,buy,4689.149999999982,4560.294500000109,-759.8054999998913
2009-01-28,18.04,buy,6962.189999999978,2270.206700000114,-676.1532999998872
2009-01-29,17.59,buy,8087.949999999987,1136.0035000001164,-860.546499999884
2009-01-30,17.1,sell,4069.880000000005,4988.590750000116,-1112.609249999885
2009-02-02,17.83,buy,6548.249999999995,2491.632975000126,-964.7570249998753
2009-02-03,18.5,sell,3269.919999999992,5851.741725000113,-744.2582749998874
2009-02-04,18.63,buy,6194.830000000009,2904.8949000000957,-742.2750999999043
2009-02-05,19.04,sit,6194.830000000009,2904.8949000000957,-602.4650999999049
2009-02-06,19.66,sell,3174.530000000012,6222.028400000131,-416.1115999998692
2009-02-09,19.44,buy,6284.929999999969,3088.300400000172,-477.0595999998277
2009-02-10,18.8,buy,7826.529999999984,1535.1384000001633,-700.4615999998368
2009-02-11,19.21,buy,8575.719999999968,780.3294750001619,-536.7505249998376
2009-02-12,19.26,buy,8960.919999999973,392.24047500016206,-517.0395249998364
2009-02-13,19.09,buy,9151.819999999974,199.90872500016224,-598.7112749998378
2009-02-17,18.09,sell,4616.490000000022,4526.90105000017,-1113.40894999983
2009-02-18,18.12,sell,2302.8900000000026,6684.99305000013,-1122.4869499998695
2009-02-19,17.91,sell,1171.6099999999992,7751.533550000122,-1155.9564499998778
2009-02-20,18.0,sit,1171.6099999999992,7751.533550000122,-1150.466449999878
2009-02-23,17.21,sit,1171.6099999999992,7751.533550000122,-1198.6564499998785
2009-02-24,17.17,sit,1171.6099999999992,7751.533550000122,-1201.0964499998772
2009-02-25,16.96,buy,5038.490000000007,3855.6519500001136,-1242.9080499998854
2009-02-26,16.42,buy,6959.630000000016,1920.103400000105,-1413.376599999894
