Index,Date,Close,1DayAgo,2DayAgo,3DayAgo,4DayAgo,5DayAgo,6DayAgo,7DayAgo,8DayAgo,9DayAgo,10DayAgo
0,20110103,127.050003,125.75,125.720001,125.919998,125.830002,125.650002,125.599998,125.779999,125.389999,124.599998,124.300003
1,20110104,126.980003,127.050003,125.75,125.720001,125.919998,125.830002,125.650002,125.599998,125.779999,125.389999,124.599998
2,20110105,127.639999,126.980003,127.050003,125.75,125.720001,125.919998,125.830002,125.650002,125.599998,125.779999,125.389999
3,20110106,127.389999,127.639999,126.980003,127.050003,125.75,125.720001,125.919998,125.830002,125.650002,125.599998,125.779999
4,20110107,127.139999,127.389999,127.639999,126.980003,127.050003,125.75,125.720001,125.919998,125.830002,125.650002,125.599998
5,20110110,126.980003,127.139999,127.389999,127.639999,126.980003,127.050003,125.75,125.720001,125.919998,125.830002,125.650002
6,20110111,127.43,126.980003,127.139999,127.389999,127.639999,126.980003,127.050003,125.75,125.720001,125.919998,125.830002
7,20110112,128.580002,127.43,126.980003,127.139999,127.389999,127.639999,126.980003,127.050003,125.75,125.720001,125.919998
8,20110113,128.369995,128.580002,127.43,126.980003,127.139999,127.389999,127.639999,126.980003,127.050003,125.75,125.720001
9,20110114,129.300003,128.369995,128.580002,127.43,126.980003,127.139999,127.389999,127.639999,126.980003,127.050003,125.75
10,20110118,129.520004,129.300003,128.369995,128.580002,127.43,126.980003,127.139999,127.389999,127.639999,126.980003,127.050003
11,20110119,128.25,129.520004,129.300003,128.369995,128.580002,127.43,126.980003,127.139999,127.389999,127.639999,126.980003
12,20110120,128.080002,128.25,129.520004,129.300003,128.369995,128.580002,127.43,126.980003,127.139999,127.389999,127.639999
13,20110121,128.369995,128.080002,128.25,129.520004,129.300003,128.369995,128.580002,127.43,126.980003,127.139999,127.389999
14,20110124,129.100006,128.369995,128.080002,128.25,129.520004,129.300003,128.369995,128.580002,127.43,126.980003,127.139999
15,20110125,129.169998,129.100006,128.369995,128.080002,128.25,129.520004,129.300003,128.369995,128.580002,127.43,126.980003
16,20110126,129.669998,129.169998,129.100006,128.369995,128.080002,128.25,129.520004,129.300003,128.369995,128.580002,127.43
17,20110127,129.990005,129.669998,129.169998,129.100006,128.369995,128.080002,128.25,129.520004,129.300003,128.369995,128.580002
18,20110128,127.720001,129.990005,129.669998,129.169998,129.100006,128.369995,128.080002,128.25,129.520004,129.300003,128.369995
19,20110131,128.679993,127.720001,129.990005,129.669998,129.169998,129.100006,128.369995,128.080002,128.25,129.520004,129.300003
20,20110201,130.740005,128.679993,127.720001,129.990005,129.669998,129.169998,129.100006,128.369995,128.080002,128.25,129.520004
21,20110202,130.490005,130.740005,128.679993,127.720001,129.990005,129.669998,129.169998,129.100006,128.369995,128.080002,128.25
22,20110203,130.779999,130.490005,130.740005,128.679993,127.720001,129.990005,129.669998,129.169998,129.100006,128.369995,128.080002
23,20110204,131.149994,130.779999,130.490005,130.740005,128.679993,127.720001,129.990005,129.669998,129.169998,129.100006,128.369995
24,20110207,131.970001,131.149994,130.779999,130.490005,130.740005,128.679993,127.720001,129.990005,129.669998,129.169998,129.100006
25,20110208,132.570007,131.970001,131.149994,130.779999,130.490005,130.740005,128.679993,127.720001,129.990005,129.669998,129.169998
26,20110209,132.270004,132.570007,131.970001,131.149994,130.779999,130.490005,130.740005,128.679993,127.720001,129.990005,129.669998
27,20110210,132.320007,132.270004,132.570007,131.970001,131.149994,130.779999,130.490005,130.740005,128.679993,127.720001,129.990005
28,20110211,133.110001,132.320007,132.270004,132.570007,131.970001,131.149994,130.779999,130.490005,130.740005,128.679993,127.720001
29,20110214,133.429993,133.110001,132.320007,132.270004,132.570007,131.970001,131.149994,130.779999,130.490005,130.740005,128.679993
30,20110215,133.009995,133.429993,133.110001,132.320007,132.270004,132.570007,131.970001,131.149994,130.779999,130.490005,130.740005
31,20110216,133.850006,133.009995,133.429993,133.110001,132.320007,132.270004,132.570007,131.970001,131.149994,130.779999,130.490005
32,20110217,134.25,133.850006,133.009995,133.429993,133.110001,132.320007,132.270004,132.570007,131.970001,131.149994,130.779999
33,20110218,134.529999,134.25,133.850006,133.009995,133.429993,133.110001,132.320007,132.270004,132.570007,131.970001,131.149994
34,20110222,131.830002,134.529999,134.25,133.850006,133.009995,133.429993,133.110001,132.320007,132.270004,132.570007,131.970001
35,20110223,131.020004,131.830002,134.529999,134.25,133.850006,133.009995,133.429993,133.110001,132.320007,132.270004,132.570007
36,20110224,130.929993,131.020004,131.830002,134.529999,134.25,133.850006,133.009995,133.429993,133.110001,132.320007,132.270004
37,20110225,132.330002,130.929993,131.020004,131.830002,134.529999,134.25,133.850006,133.009995,133.429993,133.110001,132.320007
38,20110228,133.149994,132.330002,130.929993,131.020004,131.830002,134.529999,134.25,133.850006,133.009995,133.429993,133.110001
39,20110301,130.929993,133.149994,132.330002,130.929993,131.020004,131.830002,134.529999,134.25,133.850006,133.009995,133.429993
40,20110302,131.210007,130.929993,133.149994,132.330002,130.929993,131.020004,131.830002,134.529999,134.25,133.850006,133.009995
41,20110303,133.470001,131.210007,130.929993,133.149994,132.330002,130.929993,131.020004,131.830002,134.529999,134.25,133.850006
42,20110304,132.470001,133.470001,131.210007,130.929993,133.149994,132.330002,130.929993,131.020004,131.830002,134.529999,134.25
43,20110307,131.429993,132.470001,133.470001,131.210007,130.929993,133.149994,132.330002,130.929993,131.020004,131.830002,134.529999
44,20110308,132.580002,131.429993,132.470001,133.470001,131.210007,130.929993,133.149994,132.330002,130.929993,131.020004,131.830002
45,20110309,132.389999,132.580002,131.429993,132.470001,133.470001,131.210007,130.929993,133.149994,132.330002,130.929993,131.020004
46,20110310,129.940002,132.389999,132.580002,131.429993,132.470001,133.470001,131.210007,130.929993,133.149994,132.330002,130.929993
47,20110311,130.839996,129.940002,132.389999,132.580002,131.429993,132.470001,133.470001,131.210007,130.929993,133.149994,132.330002
48,20110314,130.050003,130.839996,129.940002,132.389999,132.580002,131.429993,132.470001,133.470001,131.210007,130.929993,133.149994
49,20110315,128.559998,130.050003,130.839996,129.940002,132.389999,132.580002,131.429993,132.470001,133.470001,131.210007,130.929993
50,20110316,126.18,128.559998,130.050003,130.839996,129.940002,132.389999,132.580002,131.429993,132.470001,133.470001,131.210007
51,20110317,127.849998,126.18,128.559998,130.050003,130.839996,129.940002,132.389999,132.580002,131.429993,132.470001,133.470001
52,20110318,127.760002,127.849998,126.18,128.559998,130.050003,130.839996,129.940002,132.389999,132.580002,131.429993,132.470001
53,20110321,129.740005,127.760002,127.849998,126.18,128.559998,130.050003,130.839996,129.940002,132.389999,132.580002,131.429993
54,20110322,129.289993,129.740005,127.760002,127.849998,126.18,128.559998,130.050003,130.839996,129.940002,132.389999,132.580002
55,20110323,129.660004,129.289993,129.740005,127.760002,127.849998,126.18,128.559998,130.050003,130.839996,129.940002,132.389999
56,20110324,130.899994,129.660004,129.289993,129.740005,127.760002,127.849998,126.18,128.559998,130.050003,130.839996,129.940002
57,20110325,131.300003,130.899994,129.660004,129.289993,129.740005,127.760002,127.849998,126.18,128.559998,130.050003,130.839996
58,20110328,130.979996,131.300003,130.899994,129.660004,129.289993,129.740005,127.760002,127.849998,126.18,128.559998,130.050003
59,20110329,131.860001,130.979996,131.300003,130.899994,129.660004,129.289993,129.740005,127.760002,127.849998,126.18,128.559998
60,20110330,132.770004,131.860001,130.979996,131.300003,130.899994,129.660004,129.289993,129.740005,127.760002,127.849998,126.18
61,20110331,132.589996,132.770004,131.860001,130.979996,131.300003,130.899994,129.660004,129.289993,129.740005,127.760002,127.849998
62,20110401,133.149994,132.589996,132.770004,131.860001,130.979996,131.300003,130.899994,129.660004,129.289993,129.740005,127.760002
63,20110404,133.259995,133.149994,132.589996,132.770004,131.860001,130.979996,131.300003,130.899994,129.660004,129.289993,129.740005
64,20110405,133.240005,133.259995,133.149994,132.589996,132.770004,131.860001,130.979996,131.300003,130.899994,129.660004,129.289993
65,20110406,133.660004,133.240005,133.259995,133.149994,132.589996,132.770004,131.860001,130.979996,131.300003,130.899994,129.660004
66,20110407,133.320007,133.660004,133.240005,133.259995,133.149994,132.589996,132.770004,131.860001,130.979996,131.300003,130.899994
67,20110408,132.860001,133.320007,133.660004,133.240005,133.259995,133.149994,132.589996,132.770004,131.860001,130.979996,131.300003
68,20110411,132.460007,132.860001,133.320007,133.660004,133.240005,133.259995,133.149994,132.589996,132.770004,131.860001,130.979996
69,20110412,131.470001,132.460007,132.860001,133.320007,133.660004,133.240005,133.259995,133.149994,132.589996,132.770004,131.860001
70,20110413,131.460007,131.470001,132.460007,132.860001,133.320007,133.660004,133.240005,133.259995,133.149994,132.589996,132.770004
71,20110414,131.559998,131.460007,131.470001,132.460007,132.860001,133.320007,133.660004,133.240005,133.259995,133.149994,132.589996
72,20110415,132.039993,131.559998,131.460007,131.470001,132.460007,132.860001,133.320007,133.660004,133.240005,133.259995,133.149994
73,20110418,130.559998,132.039993,131.559998,131.460007,131.470001,132.460007,132.860001,133.320007,133.660004,133.240005,133.259995
74,20110419,131.309998,130.559998,132.039993,131.559998,131.460007,131.470001,132.460007,132.860001,133.320007,133.660004,133.240005
75,20110420,133.100006,131.309998,130.559998,132.039993,131.559998,131.460007,131.470001,132.460007,132.860001,133.320007,133.660004
76,20110421,133.779999,133.100006,131.309998,130.559998,132.039993,131.559998,131.460007,131.470001,132.460007,132.860001,133.320007
77,20110425,133.639999,133.779999,133.100006,131.309998,130.559998,132.039993,131.559998,131.460007,131.470001,132.460007,132.860001
78,20110426,134.789993,133.639999,133.779999,133.100006,131.309998,130.559998,132.039993,131.559998,131.460007,131.470001,132.460007
79,20110427,135.669998,134.789993,133.639999,133.779999,133.100006,131.309998,130.559998,132.039993,131.559998,131.460007,131.470001
80,20110428,136.110001,135.669998,134.789993,133.639999,133.779999,133.100006,131.309998,130.559998,132.039993,131.559998,131.460007
81,20110429,136.429993,136.110001,135.669998,134.789993,133.639999,133.779999,133.100006,131.309998,130.559998,132.039993,131.559998
82,20110502,136.220001,136.429993,136.110001,135.669998,134.789993,133.639999,133.779999,133.100006,131.309998,130.559998,132.039993
83,20110503,135.729996,136.220001,136.429993,136.110001,135.669998,134.789993,133.639999,133.779999,133.100006,131.309998,130.559998
84,20110504,134.830002,135.729996,136.220001,136.429993,136.110001,135.669998,134.789993,133.639999,133.779999,133.100006,131.309998
85,20110505,133.610001,134.830002,135.729996,136.220001,136.429993,136.110001,135.669998,134.789993,133.639999,133.779999,133.100006
86,20110506,134.199997,133.610001,134.830002,135.729996,136.220001,136.429993,136.110001,135.669998,134.789993,133.639999,133.779999
87,20110509,134.720001,134.199997,133.610001,134.830002,135.729996,136.220001,136.429993,136.110001,135.669998,134.789993,133.639999
88,20110510,135.869995,134.720001,134.199997,133.610001,134.830002,135.729996,136.220001,136.429993,136.110001,135.669998,134.789993
89,20110511,134.440002,135.869995,134.720001,134.199997,133.610001,134.830002,135.729996,136.220001,136.429993,136.110001,135.669998
90,20110512,135.080002,134.440002,135.869995,134.720001,134.199997,133.610001,134.830002,135.729996,136.220001,136.429993,136.110001
91,20110513,134.039993,135.080002,134.440002,135.869995,134.720001,134.199997,133.610001,134.830002,135.729996,136.220001,136.429993
92,20110516,133.190002,134.039993,135.080002,134.440002,135.869995,134.720001,134.199997,133.610001,134.830002,135.729996,136.220001
93,20110517,133.169998,133.190002,134.039993,135.080002,134.440002,135.869995,134.720001,134.199997,133.610001,134.830002,135.729996
94,20110518,134.360001,133.169998,133.190002,134.039993,135.080002,134.440002,135.869995,134.720001,134.199997,133.610001,134.830002
95,20110519,134.679993,134.360001,133.169998,133.190002,134.039993,135.080002,134.440002,135.869995,134.720001,134.199997,133.610001
96,20110520,133.610001,134.679993,134.360001,133.169998,133.190002,134.039993,135.080002,134.440002,135.869995,134.720001,134.199997
97,20110523,132.059998,133.610001,134.679993,134.360001,133.169998,133.190002,134.039993,135.080002,134.440002,135.869995,134.720001
98,20110524,131.949997,132.059998,133.610001,134.679993,134.360001,133.169998,133.190002,134.039993,135.080002,134.440002,135.869995
99,20110525,132.389999,131.949997,132.059998,133.610001,134.679993,134.360001,133.169998,133.190002,134.039993,135.080002,134.440002
100,20110526,133,132.389999,131.949997,132.059998,133.610001,134.679993,134.360001,133.169998,133.190002,134.039993,135.080002
101,20110527,133.509995,133,132.389999,131.949997,132.059998,133.610001,134.679993,134.360001,133.169998,133.190002,134.039993
102,20110531,134.899994,133.509995,133,132.389999,131.949997,132.059998,133.610001,134.679993,134.360001,133.169998,133.190002
103,20110601,131.869995,134.899994,133.509995,133,132.389999,131.949997,132.059998,133.610001,134.679993,134.360001,133.169998
104,20110602,131.729996,131.869995,134.899994,133.509995,133,132.389999,131.949997,132.059998,133.610001,134.679993,134.360001
105,20110603,130.419998,131.729996,131.869995,134.899994,133.509995,133,132.389999,131.949997,132.059998,133.610001,134.679993
106,20110606,129.039993,130.419998,131.729996,131.869995,134.899994,133.509995,133,132.389999,131.949997,132.059998,133.610001
107,20110607,128.960007,129.039993,130.419998,131.729996,131.869995,134.899994,133.509995,133,132.389999,131.949997,132.059998
108,20110608,128.419998,128.960007,129.039993,130.419998,131.729996,131.869995,134.899994,133.509995,133,132.389999,131.949997
109,20110609,129.399994,128.419998,128.960007,129.039993,130.419998,131.729996,131.869995,134.899994,133.509995,133,132.389999
110,20110610,127.599998,129.399994,128.419998,128.960007,129.039993,130.419998,131.729996,131.869995,134.899994,133.509995,133
111,20110613,127.699997,127.599998,129.399994,128.419998,128.960007,129.039993,130.419998,131.729996,131.869995,134.899994,133.509995
112,20110614,129.320007,127.699997,127.599998,129.399994,128.419998,128.960007,129.039993,130.419998,131.729996,131.869995,134.899994
113,20110615,127.019997,129.320007,127.699997,127.599998,129.399994,128.419998,128.960007,129.039993,130.419998,131.729996,131.869995
114,20110616,127.300003,127.019997,129.320007,127.699997,127.599998,129.399994,128.419998,128.960007,129.039993,130.419998,131.729996
115,20110617,127.050003,127.300003,127.019997,129.320007,127.699997,127.599998,129.399994,128.419998,128.960007,129.039993,130.419998
116,20110620,127.699997,127.050003,127.300003,127.019997,129.320007,127.699997,127.599998,129.399994,128.419998,128.960007,129.039993
117,20110621,129.449997,127.699997,127.050003,127.300003,127.019997,129.320007,127.699997,127.599998,129.399994,128.419998,128.960007
118,20110622,128.669998,129.449997,127.699997,127.050003,127.300003,127.019997,129.320007,127.699997,127.599998,129.399994,128.419998
119,20110623,128.300003,128.669998,129.449997,127.699997,127.050003,127.300003,127.019997,129.320007,127.699997,127.599998,129.399994
120,20110624,126.809998,128.300003,128.669998,129.449997,127.699997,127.050003,127.300003,127.019997,129.320007,127.699997,127.599998
121,20110627,127.940002,126.809998,128.300003,128.669998,129.449997,127.699997,127.050003,127.300003,127.019997,129.320007,127.699997
122,20110628,129.610001,127.940002,126.809998,128.300003,128.669998,129.449997,127.699997,127.050003,127.300003,127.019997,129.320007
123,20110629,130.720001,129.610001,127.940002,126.809998,128.300003,128.669998,129.449997,127.699997,127.050003,127.300003,127.019997
124,20110630,131.970001,130.720001,129.610001,127.940002,126.809998,128.300003,128.669998,129.449997,127.699997,127.050003,127.300003
125,20110701,133.919998,131.970001,130.720001,129.610001,127.940002,126.809998,128.300003,128.669998,129.449997,127.699997,127.050003
126,20110705,133.809998,133.919998,131.970001,130.720001,129.610001,127.940002,126.809998,128.300003,128.669998,129.449997,127.699997
127,20110706,133.970001,133.809998,133.919998,131.970001,130.720001,129.610001,127.940002,126.809998,128.300003,128.669998,129.449997
128,20110707,135.360001,133.970001,133.809998,133.919998,131.970001,130.720001,129.610001,127.940002,126.809998,128.300003,128.669998
129,20110708,134.399994,135.360001,133.970001,133.809998,133.919998,131.970001,130.720001,129.610001,127.940002,126.809998,128.300003
130,20110711,131.970001,134.399994,135.360001,133.970001,133.809998,133.919998,131.970001,130.720001,129.610001,127.940002,126.809998
131,20110712,131.399994,131.970001,134.399994,135.360001,133.970001,133.809998,133.919998,131.970001,130.720001,129.610001,127.940002
132,20110713,131.839996,131.399994,131.970001,134.399994,135.360001,133.970001,133.809998,133.919998,131.970001,130.720001,129.610001
133,20110714,130.929993,131.839996,131.399994,131.970001,134.399994,135.360001,133.970001,133.809998,133.919998,131.970001,130.720001
134,20110715,131.690002,130.929993,131.839996,131.399994,131.970001,134.399994,135.360001,133.970001,133.809998,133.919998,131.970001
135,20110718,130.610001,131.690002,130.929993,131.839996,131.399994,131.970001,134.399994,135.360001,133.970001,133.809998,133.919998
136,20110719,132.729996,130.610001,131.690002,130.929993,131.839996,131.399994,131.970001,134.399994,135.360001,133.970001,133.809998
