Time,Price,Action,Inventory,Cash,Profit
1999-12-13,96.62,sit,0.0,10000.0,0.0
1999-12-14,98.69,sit,0.0,10000.0,0.0
1999-12-15,108.44,buy,108.44,9891.2889,-0.27109999999993306
1999-12-16,113.69,sell,0.0,10004.694674999999,4.694674999998824
1999-12-17,115.25,sit,0.0,10004.694674999999,4.694674999998824
1999-12-20,112.75,buy,112.75,9891.662799999998,4.412799999998242
1999-12-21,115.87,buy,228.62,9775.503124999997,7.243124999997235
1999-12-22,117.56,sell,115.87,9892.769224999998,10.329224999997678
1999-12-23,117.44,buy,233.31,9775.035624999997,9.915624999995998
1999-12-27,119.12,buy,352.43,9655.617824999996,12.977824999996301
1999-12-28,117.5,buy,469.93,9537.824074999995,7.824074999994991
1999-12-29,117.94,sell,236.62,9773.114374999996,8.994374999994761
1999-12-30,117.62,buy,354.24,9655.200324999994,8.060324999994918
1999-12-31,116.75,buy,470.99,9538.158449999994,5.158449999993536
2000-01-03,116.56,buy,704.1099999999999,9304.455649999994,3.815649999995003
2000-01-04,112.62,sit,704.1099999999999,9304.455649999994,-19.824350000006234
2000-01-05,113.81,buy,1045.5399999999997,8962.172074999997,-13.53792500000418
2000-01-06,110.0,sit,1045.5399999999997,8962.172074999997,-47.82792500000323
2000-01-07,111.44,sell,574.55,9406.817675,-35.98232499999904
2000-01-10,112.25,buy,799.05,9181.756425,-32.49357500000042
2000-01-11,109.37,sell,452.12,9509.046149999998,-53.47385000000213
2000-01-12,105.81,buy,663.74,9296.8971,-68.24289999999928
2000-01-13,107.81,sit,663.74,9296.8971,-56.24289999999928
2000-01-14,112.25,sell,323.87,9632.805225000002,-30.444774999998117
2000-01-18,115.31,sit,323.87,9632.805225000002,-21.264774999997826
2000-01-19,107.0,sell,211.62,9739.537725000002,-46.462274999998044
2000-01-20,106.0,sell,105.81,9845.272725000003,-48.72727499999746
2000-01-21,103.75,buy,209.56,9741.263350000003,-51.2366499999971
2000-01-24,101.25,sell,103.75,9842.260225000004,-56.48977499999637
2000-01-25,102.81,sell,0.0,9944.813200000004,-55.186799999995856
2000-01-26,99.37,buy,99.37,9845.194775000004,-55.435224999995626
2000-01-27,98.75,sell,0.0,9943.697900000003,-56.302099999997154
2000-01-28,98.25,sit,0.0,9943.697900000003,-56.302099999997154
2000-01-31,97.87,buy,97.87,9845.583225000002,-56.54677499999707
2000-02-01,102.94,buy,200.81,9742.385875000002,-51.73412499999904
2000-02-02,100.81,sit,200.81,9742.385875000002,-55.99412499999744
2000-02-03,103.62,sit,200.81,9742.385875000002,-50.37412499999846
2000-02-04,106.56,buy,307.37,9635.559475000002,-44.76052499999787
2000-02-07,106.62,buy,413.99,9528.672925,-44.84707499999968
2000-02-08,109.94,sell,213.18,9748.003225000002,-32.1167749999986
2000-02-09,104.0,sell,106.62,9851.743225000002,-44.256774999998015
2000-02-10,106.0,sell,0.0,9957.478225000003,-42.52177499999743
2000-02-11,99.94,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-14,99.62,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-15,98.56,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-16,97.62,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-17,99.62,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-18,95.06,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-22,93.81,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-23,94.25,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-24,94.75,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-25,91.31,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-28,91.56,sit,0.0,9957.478225000003,-42.52177499999743
2000-02-29,89.37,sit,0.0,9957.478225000003,-42.52177499999743
2000-03-01,90.81,buy,90.81,9866.441200000003,-42.74879999999757
2000-03-02,93.37,sell,0.0,9959.577775000003,-40.422224999996615
2000-03-03,96.12,sit,0.0,9959.577775000003,-40.422224999996615
2000-03-06,90.62,sit,0.0,9959.577775000003,-40.422224999996615
2000-03-07,92.87,buy,92.87,9866.475600000003,-40.6543999999958
2000-03-08,95.56,sell,0.0,9961.796700000003,-38.2032999999974
2000-03-09,100.0,sit,0.0,9961.796700000003,-38.2032999999974
2000-03-10,101.0,sit,0.0,9961.796700000003,-38.2032999999974
2000-03-13,98.0,buy,98.0,9863.551700000002,-38.4482999999982
2000-03-14,95.12,sit,98.0,9863.551700000002,-41.3282999999974
2000-03-15,95.37,sell,0.0,9958.683275000001,-41.31672499999877
2000-03-16,95.37,sit,0.0,9958.683275000001,-41.31672499999877
2000-03-17,99.37,buy,99.37,9859.06485,-41.56514999999854
2000-03-20,97.37,sit,99.37,9859.06485,-43.56514999999854
2000-03-21,102.75,sit,99.37,9859.06485,-38.18514999999934
2000-03-22,103.25,sell,0.0,9962.056725,-37.94327499999963
2000-03-23,111.87,sit,0.0,9962.056725,-37.94327499999963
2000-03-24,111.69,sit,0.0,9962.056725,-37.94327499999963
2000-03-27,104.06,sit,0.0,9962.056725,-37.94327499999963
2000-03-28,104.31,buy,104.31,9857.48595,-38.20405000000028
2000-03-29,107.19,buy,211.5,9750.027974999999,-35.59202500000174
2000-03-30,103.37,buy,314.87,9646.399549999998,-43.49045000000115
2000-03-31,106.25,sell,210.56,9752.383924999998,-35.11607500000173
2000-04-03,90.87,sell,103.37,9843.026749999999,-66.10325000000012
2000-04-04,88.56,sell,0.0,9931.365349999998,-68.63465000000178
2000-04-05,86.37,buy,86.37,9844.779424999997,-68.85057500000221
2000-04-06,86.0,buy,172.37,9758.564424999997,-69.43557500000315
2000-04-07,89.06,buy,261.43,9669.281774999998,-63.53822500000206
2000-04-10,86.06,buy,347.49,9583.006624999998,-72.75337500000205
2000-04-11,83.87,sit,347.49,9583.006624999998,-81.51337500000227
2000-04-12,79.37,sell,175.12,9741.349774999999,-99.91022500000145
2000-04-13,79.25,buy,254.37,9661.901649999998,-100.34835000000203
2000-04-14,74.12,sit,254.37,9661.901649999998,-115.73835000000145
2000-04-17,75.87,sell,165.31,9737.581974999997,-110.67802500000289
2000-04-18,80.56,sit,165.31,9737.581974999997,-101.29802500000187
2000-04-19,78.69,buy,244.0,9658.695249999997,-105.23475000000326
2000-04-20,78.94,buy,322.94,9579.557899999996,-104.68210000000363
2000-04-24,66.62,sell,157.63,9712.464799999998,-154.2952000000023
2000-04-25,69.37,sit,157.63,9712.464799999998,-148.7952000000023
2000-04-26,68.0,sell,78.94,9780.294799999998,-151.70520000000215
2000-04-27,69.81,sit,78.94,9780.294799999998,-149.89520000000266
2000-04-28,69.75,sit,78.94,9780.294799999998,-149.95520000000215
2000-05-01,73.44,sell,0.0,9853.551199999998,-146.44880000000194
2000-05-02,69.87,sit,0.0,9853.551199999998,-146.44880000000194
2000-05-03,70.56,sit,0.0,9853.551199999998,-146.44880000000194
2000-05-04,70.44,sit,0.0,9853.551199999998,-146.44880000000194
2000-05-05,71.12,buy,71.12,9782.253399999998,-146.62660000000142
2000-05-08,69.81,sit,71.12,9782.253399999998,-147.93660000000273
2000-05-09,67.81,sit,71.12,9782.253399999998,-149.93660000000273
2000-05-10,66.19,sell,0.0,9848.277924999999,-151.7220750000015
2000-05-11,67.87,sit,0.0,9848.277924999999,-151.7220750000015
2000-05-12,68.81,buy,68.81,9779.2959,-151.89410000000134
2000-05-15,69.37,sit,68.81,9779.2959,-151.33410000000003
2000-05-16,69.5,sit,68.81,9779.2959,-151.20410000000084
2000-05-17,67.69,buy,136.5,9711.436674999999,-153.1833250000018
2000-05-18,66.19,sit,136.5,9711.436674999999,-156.1833250000018
2000-05-19,65.06,buy,201.56,9646.214025,-158.6059750000004
2000-05-22,64.19,sell,132.75,9710.24355,-161.37645000000157
2000-05-23,63.19,sit,132.75,9710.24355,-163.37645000000157
2000-05-24,65.56,sell,65.06,9775.63965,-158.80035000000134
2000-05-25,61.5,buy,126.56,9713.9859,-163.01410000000033
2000-05-26,61.44,buy,188.0,9652.3923,-163.28770000000077
2000-05-30,63.38,buy,251.38,9588.85385,-157.62615000000005
2000-05-31,62.56,sit,251.38,9588.85385,-160.9061500000007
2000-06-01,64.56,sell,124.82,9717.65105,-153.2289499999988
2000-06-02,66.31,buy,191.13,9651.175275000001,-149.8947249999983
2000-06-05,66.87,sit,191.13,9651.175275000001,-148.214724999998
2000-06-06,69.62,sit,191.13,9651.175275000001,-139.964724999998
2000-06-07,70.5,buy,261.63,9580.499025000001,-137.50097499999902
2000-06-08,68.81,buy,399.25,9442.534975000002,-144.6050249999971
2000-06-09,68.81,sell,208.12,9648.448900000001,-145.12109999999848
2000-06-12,66.87,buy,274.99,9581.411725,-151.1082750000005
2000-06-13,67.87,buy,410.73,9445.332374999998,-147.44762500000252
2000-06-14,70.5,buy,622.23,9233.303624999999,-132.19637500000135
2000-06-15,72.37,buy,911.71,8943.099924999995,-116.09007500000553
2000-06-16,72.56,sit,911.71,8943.099924999995,-113.62007500000436
2000-06-19,73.69,buy,1353.8500000000004,8499.854574999992,-100.03542500000731
2000-06-20,74.94,sit,1353.8500000000004,8499.854574999992,-76.28542500000731
2000-06-21,80.69,sell,731.6200000000001,9224.24904999999,31.149049999989074
2000-06-22,79.87,sell,368.45,9622.600674999985,21.950674999985495
2000-06-23,77.69,sell,221.07,9777.592224999984,10.662224999983664
2000-06-26,79.5,sit,221.07,9777.592224999984,16.092224999983955
2000-06-27,78.81,sell,147.38,9856.205199999984,13.825199999984761
2000-06-28,78.94,sell,73.69,9934.947849999984,13.88784999998461
2000-06-29,77.19,sit,73.69,9934.947849999984,12.13784999998461
2000-06-30,80.0,sell,0.0,10014.747849999983,14.747849999983373
2000-07-03,80.0,sit,0.0,10014.747849999983,14.747849999983373
2000-07-05,78.5,buy,78.5,9936.051599999982,14.5515999999825
2000-07-06,80.94,buy,159.44,9854.909249999982,16.78924999998162
2000-07-07,82.0,sell,80.94,9936.704249999982,18.704249999982494
2000-07-10,79.44,sell,0.0,10015.945649999983,15.945649999983289
2000-07-11,79.12,sit,0.0,10015.945649999983,15.945649999983289
